"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0465,2.687,0.000,2.666,0.006
0.0466,2.684,-0.002,2.666,0.006
0.0467,2.688,0.001,2.664,0.004
0.0468,2.692,0.005,2.666,0.006
0.0469,2.684,-0.002,2.659,-0.001
0.0470,2.688,0.001,2.658,-0.002
0.0471,2.692,0.005,2.664,0.004
0.0472,2.692,0.005,2.658,-0.002
0.0473,2.697,0.010,2.659,-0.001
0.0474,2.688,0.001,2.655,-0.005
0.0475,2.687,0.000,2.652,-0.008
0.0476,2.691,0.004,2.660,0.000
0.0477,2.683,-0.004,2.658,-0.002
0.0478,2.686,-0.001,2.657,-0.004
0.0479,2.687,0.000,2.664,0.004
0.0480,2.680,-0.007,2.657,-0.004
0.0481,2.688,0.001,2.660,0.000
0.0482,2.684,-0.002,2.660,0.000
0.0483,2.681,-0.006,2.660,0.000
0.0484,2.687,0.000,2.663,0.003
0.0485,2.684,-0.002,2.661,0.001
0.0486,2.678,-0.008,2.652,-0.008
0.0487,2.688,0.001,2.661,0.001
0.0488,2.686,-0.001,2.659,-0.001
0.0489,2.689,0.003,2.658,-0.002
0.0490,2.697,0.010,2.668,0.007
0.0491,2.688,0.001,2.658,-0.002
0.0492,2.694,0.007,2.664,0.004
0.0493,2.692,0.005,2.659,-0.001
0.0494,2.682,-0.005,2.654,-0.006
0.0495,2.688,0.001,2.663,0.003
0.0496,2.687,0.000,2.665,0.005
0.0497,2.684,-0.002,2.658,-0.002
0.0498,2.683,-0.004,2.659,-0.001
0.0499,2.677,-0.010,2.655,-0.005
0.0500,2.683,-0.004,2.657,-0.004
0.0501,2.692,0.005,2.668,0.007
0.0502,2.681,-0.006,2.654,-0.006
0.0503,2.687,0.000,2.664,0.004
0.0504,2.692,0.005,2.666,0.006
0.0505,2.686,-0.001,2.657,-0.004
0.0506,2.692,0.005,2.660,0.000
0.0507,2.687,0.000,2.661,0.001
0.0508,2.689,0.003,2.658,-0.002
0.0509,2.695,0.009,2.664,0.004
0.0510,2.687,0.000,2.658,-0.002
0.0511,2.692,0.005,2.659,-0.001
0.0512,2.692,0.005,2.664,0.004
0.0513,2.684,-0.002,2.660,0.000
0.0514,2.692,0.005,2.670,0.010
0.0515,2.692,0.005,2.675,0.015
0.0516,2.687,0.000,2.665,0.005
0.0517,2.687,0.000,2.668,0.007
0.0518,2.682,-0.005,2.666,0.006
0.0519,2.684,-0.002,2.659,-0.001
0.0520,2.692,0.005,2.668,0.007
0.0521,2.687,0.000,2.665,0.005
0.0522,2.687,0.000,2.658,-0.002
0.0523,2.691,0.004,2.664,0.004
0.0524,2.686,-0.001,2.653,-0.007
0.0525,2.692,0.005,2.658,-0.002
0.0526,2.691,0.004,2.657,-0.004
0.0527,2.688,0.001,2.651,-0.010
0.0528,2.692,0.005,2.657,-0.004
0.0529,2.688,0.001,2.658,-0.002
0.0530,2.687,0.000,2.653,-0.007
0.0531,2.688,0.001,2.658,-0.002
0.0532,2.680,-0.007,2.658,-0.002
0.0533,2.684,-0.002,2.657,-0.004
0.0534,2.687,0.000,2.665,0.005
0.0535,2.681,-0.006,2.653,-0.007
0.0536,2.686,-0.001,2.658,-0.002
0.0537,2.688,0.001,2.666,0.006
0.0538,2.688,0.001,2.660,0.000
0.0539,2.694,0.007,2.668,0.007
0.0540,2.688,0.001,2.666,0.006
0.0541,2.692,0.005,2.664,0.004
0.0542,2.694,0.007,2.666,0.006
0.0543,2.681,-0.006,2.657,-0.004
0.0544,2.693,0.006,2.659,-0.001
0.0545,2.688,0.001,2.658,-0.002
0.0546,2.686,-0.001,2.657,-0.004
0.0547,2.691,0.004,2.661,0.001
0.0548,2.684,-0.002,2.664,0.004
0.0549,2.686,-0.001,2.660,0.000
0.0550,2.688,0.001,2.668,0.007
0.0551,2.682,-0.005,2.666,0.006
0.0552,2.686,-0.001,2.664,0.004
0.0553,2.687,0.000,2.668,0.007
0.0554,2.683,-0.004,2.664,0.004
0.0555,2.688,0.001,2.666,0.006
0.0556,2.689,0.003,2.668,0.007
0.0557,2.684,-0.002,2.657,-0.004
0.0558,2.692,0.005,2.660,0.000
0.0559,2.688,0.001,2.658,-0.002
0.0560,2.689,0.003,2.658,-0.002
0.0561,2.698,0.011,2.666,0.006
0.0562,2.691,0.004,2.663,0.003
0.0563,2.691,0.004,2.660,0.000
0.0564,2.692,0.005,2.664,0.004
0.0565,2.682,-0.005,2.658,-0.002
0.0566,2.683,-0.004,2.657,-0.004
0.0567,2.682,-0.005,2.660,0.000
0.0568,2.678,-0.008,2.657,-0.004
0.0569,2.687,0.000,2.659,-0.001
0.0570,2.683,-0.004,2.657,-0.004
0.0571,2.681,-0.006,2.653,-0.007
0.0572,2.684,-0.002,2.654,-0.006
0.0573,2.681,-0.006,2.654,-0.006
0.0574,2.684,-0.002,2.654,-0.006
0.0575,2.689,0.003,2.659,-0.001
0.0576,2.683,-0.004,2.654,-0.006
0.0577,2.691,0.004,2.657,-0.004
0.0578,2.687,0.000,2.657,-0.004
0.0579,2.684,-0.002,2.652,-0.008
0.0580,2.693,0.006,2.660,0.000
0.0581,2.687,0.000,2.660,0.000
0.0582,2.680,-0.007,2.654,-0.006
0.0583,2.682,-0.005,2.661,0.001
0.0584,2.681,-0.006,2.665,0.005
0.0585,2.684,-0.002,2.660,0.000
