"Times","SoundPressure1","OffsetPressure1","SoundPressure2","OffsetPressure2"
0.0295,2.686,-0.003,2.656,-0.006
0.0296,2.694,0.006,2.664,0.003
0.0297,2.689,0.001,2.664,0.003
0.0298,2.682,-0.006,2.656,-0.006
0.0299,2.686,-0.003,2.658,-0.004
0.0300,2.686,-0.003,2.659,-0.002
0.0301,2.687,-0.001,2.659,-0.002
0.0302,2.689,0.001,2.663,0.001
0.0303,2.686,-0.003,2.659,-0.002
0.0304,2.686,-0.003,2.654,-0.007
0.0305,2.687,-0.001,2.658,-0.004
0.0306,2.686,-0.003,2.661,-0.001
0.0307,2.686,-0.003,2.654,-0.007
0.0308,2.693,0.005,2.665,0.004
0.0309,2.686,-0.003,2.662,0.000
0.0310,2.689,0.001,2.661,-0.001
0.0311,2.691,0.002,2.665,0.004
0.0312,2.682,-0.006,2.657,-0.005
0.0313,2.687,-0.001,2.657,-0.005
0.0314,2.687,-0.001,2.663,0.001
0.0315,2.685,-0.004,2.654,-0.007
0.0316,2.691,0.002,2.658,-0.004
0.0317,2.689,0.001,2.667,0.005
0.0318,2.691,0.002,2.663,0.001
0.0319,2.693,0.005,2.663,0.001
0.0320,2.694,0.006,2.669,0.007
0.0321,2.688,0.000,2.658,-0.004
0.0322,2.689,0.001,2.663,0.001
0.0323,2.689,0.001,2.665,0.004
0.0324,2.688,0.000,2.663,0.001
0.0325,2.695,0.007,2.670,0.009
0.0326,2.687,-0.001,2.664,0.003
0.0327,2.687,-0.001,2.659,-0.002
0.0328,2.687,-0.001,2.658,-0.004
0.0329,2.680,-0.009,2.654,-0.007
0.0330,2.686,-0.003,2.653,-0.008
0.0331,2.687,-0.001,2.657,-0.005
0.0332,2.681,-0.008,2.653,-0.008
0.0333,2.686,-0.003,2.657,-0.005
0.0334,2.691,0.002,2.665,0.004
0.0335,2.686,-0.003,2.657,-0.005
0.0336,2.693,0.005,2.667,0.005
0.0337,2.689,0.001,2.667,0.005
0.0338,2.685,-0.004,2.654,-0.007
0.0339,2.688,0.000,2.658,-0.004
0.0340,2.687,-0.001,2.667,0.005
0.0341,2.691,0.002,2.663,0.001
0.0342,2.693,0.005,2.667,0.005
0.0343,2.689,0.001,2.665,0.004
0.0344,2.686,-0.003,2.658,-0.004
0.0345,2.692,0.003,2.667,0.005
0.0346,2.688,0.000,2.663,0.001
0.0347,2.689,0.001,2.659,-0.002
0.0348,2.689,0.001,2.663,0.001
